0.000, 0.005
1.000, 0.006
2.009, 0.010
3.040, 0.015
3.522, 0.018
4.026, 0.020
4.552, 0.025
5.078, 0.032
5.561, 0.040
6.065, 0.051
6.569, 0.063
7.073, 0.080
7.577, 0.097
8.016, 0.122
8.586, 0.147
9.046, 0.176
9.594, 0.204
10.076, 0.235
10.602, 0.243
